Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - English I + II,% Meets Grade Level - Algebra I,Growth Score,SAT/ACT Participation Rate,Average SAT Total Score,Average ACT Total Score,AP/IB Participation Rate,AP/IB Pass Rate,Graduation Rate,Student Achievement Grade,Campus Performance Grade,Growth Grade,College Readiness Grade,C@R Grade,State Rank
35903001,NAZARETH SCHOOL,NAZARETH ISD,CASTRO COUNTY,PK-12,N,NO,233,0.9,0.0,9.9,87.1,15.9,2.8,80.0,85.7,57.7,100.0,1750,22.0,0.0,0.0,100%,A,A,A,A,A,72
101845002,YES PREP - SOUTHWEST,YES PREP PUBLIC SCHOOLS INC,HARRIS COUNTY,6-12,Y,NO,919,7.7,0.0,91.8,0.1,81.9,5.0,63.9,81.1,54.7,100.0,1356,19.4,73.1,62.5,96%,A,A,B,A,A,73
101921002,TOMBALL MEMORIAL H S,TOMBALL ISD,HARRIS COUNTY,9-12,N,NO,2131,6.3,7.9,26.2,55.6,14.8,6.0,76.4,85.6,60.4,74.2,1588,23.9,38.9,77.2,89%,A,A,A,A,A,74
71901009,CLINT ISD EARLY COLLEGE ACADEMY,CLINT ISD,EL PASO COUNTY,9-12,N,NO,348,0.0,0.3,97.7,2.0,79.9,2.5,79.6,72.1,54.6,100.0,1350,0.0,42.2,26.3,92%,A,A,B,B,A,75
79907004,CLEMENTS H S,FORT BEND ISD,FORT BEND COUNTY,9-12,N,NA,2496,5.4,53.8,11.8,25.7,8.3,4.8,83.4,78.9,56.6,93.3,1796,27.6,52.3,92.2,93%,A,A,A,A,A,76
246909003,WESTWOOD H S,ROUND ROCK ISD,WILLIAMSON COUNTY,9-12,N,NO,2678,4.0,30.8,16.6,43.6,11.7,7.4,83.1,72.9,62.2,100.0,1733,27.5,65.4,91.4,91%,A,A,A,A,A,77
108907006,MERCEDES EARLY COLLEGE ACADEMY,MERCEDES ISD,HIDALGO COUNTY,9-12,N,NA,364,0.5,0.0,98.4,0.3,73.4,5.0,75.5,68.3,56.1,98.6,1490,19.6,17.1,58.3,100%,A,A,A,A,A,78
101845001,YES PREP - SOUTHEAST,YES PREP PUBLIC SCHOOLS INC,HARRIS COUNTY,6-12,Y,NO,1030,1.7,0.4,95.5,1.6,77.9,4.4,73.6,71.4,52.3,100.0,1388,19.5,86.5,48.7,94%,A,A,B,A,A,79
101914007,CINCO RANCH H S,KATY ISD,FORT BEND COUNTY,9-12,N,NO,3223,7.5,16.3,24.4,47.8,13.2,6.4,78.5,81.3,58.2,90.1,1648,25.7,40.5,88.4,90%,A,A,A,A,A,80
61902010,FLOWER MOUND H S,LEWISVILLE ISD,DENTON COUNTY,9-12,N,NO,2708,2.7,13.6,10.3,70.2,3.7,5.9,83.5,NA,53.1,89.1,1706,25.5,33.1,87.5,93%,A,A,B,A,A,81
101828001,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,HOUSTON GATEWAY ACADEMY INC,HARRIS COUNTY,PK-12,Y,NO,845,0.8,0.2,97.8,0.8,90.5,8.2,68.8,90.4,53.2,100.0,1224,0.0,0.0,0.0,83%,A,A,B,F,A,82
128904001,FALLS CITY H S,FALLS CITY ISD,KARNES COUNTY,7-12,N,NO,185,0.0,0.5,21.6,76.8,14.6,6.3,87.5,82.1,51.1,80.0,1375,21.4,0.0,0.0,100%,A,A,C,B,A,83
71806001,HARMONY SCIENCE ACAD (EL PASO),HARMONY SCIENCE ACAD (EL PASO),EL PASO COUNTY,KG-12,Y,NO,725,0.6,1.1,94.9,3.0,71.6,7.2,63.2,80.2,54.3,100.0,1355,18.0,43.3,65.5,96%,A,A,B,A,A,84
247904001,POTH H S,POTH ISD,WILSON COUNTY,9-12,N,NO,264,0.0,0.0,45.5,54.2,27.7,11.4,78.9,80.8,58.6,44.2,1469,21.8,7.9,33.3,90%,A,A,A,C,A,85
