Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
227912102,LAGO VISTA INT,LAGO VISTA ISD,TRAVIS COUNTY,4-5,N,NO,232,0.4,0.0,19.8,74.6,31.0,0.0,54.9,62.6,51.6,B,B,C,B,947
148901101,KIRKSEY EL,BOOKER ISD,LIPSCOMB COUNTY,EE-5,N,NO,201,0.0,0.0,72.1,27.4,64.2,6.2,58.4,50.6,48.4,B,A,D,B,948
57905131,IGNACIO ZARAGOZA EL,DALLAS ISD,DALLAS COUNTY,EE-5,N,NO,376,13.3,0.8,83.8,1.1,96.0,21.3,43.2,52.8,61.3,C,B,A,B,949
84910115,WALTER HALL EL,CLEAR CREEK ISD,GALVESTON COUNTY,EE-5,N,NO,837,4.8,5.7,22.1,59.7,12.4,6.3,63.1,62.5,51.8,B,B,C,B,950
220918112,LAKE POINTE EL,EAGLE MT-SAGINAW ISD,TARRANT COUNTY,KG-5,N,NO,718,6.3,4.5,30.6,53.9,24.2,11.5,59.0,60.5,52.5,B,B,B,B,951
111901106,OAK WOODS SCHOOL,GRANBURY ISD,HOOD COUNTY,EE-5,N,NO,585,0.5,1.4,15.0,78.8,41.9,19.2,51.9,61.2,52.3,B,B,B,B,952
57905149,LENORE KIRK HALL EL,DALLAS ISD,DALLAS COUNTY,EE-5,N,NO,520,0.6,0.0,97.3,1.3,92.9,8.4,47.9,53.4,53.6,B,A,B,B,953
170902108,LAMAR EL,CONROE ISD,MONTGOMERY COUNTY,EE-4,N,NO,723,8.4,9.1,30.6,46.2,33.3,21.9,59.4,57.4,51.1,B,B,C,B,954
101908104,SAN JACINTO EL,DEER PARK ISD,HARRIS COUNTY,KG-5,N,NO,967,0.8,0.6,47.6,48.0,36.9,7.6,51.7,61.9,53.9,B,B,B,B,955
46901106,COUNTY LINE EL,NEW BRAUNFELS ISD,GUADALUPE COUNTY,KG-5,N,NO,623,1.0,2.4,43.5,49.6,33.4,7.7,56.2,59.2,53.1,B,B,B,B,956
108906128,DR PABLO PEREZ,MCALLEN ISD,HIDALGO COUNTY,EE-5,N,NO,495,0.4,2.2,90.1,5.5,56.4,8.5,54.3,53.8,53.0,B,B,B,B,957
15915228,COLE EL,NORTHSIDE ISD,BEXAR COUNTY,EE-5,N,NO,642,7.5,2.0,58.7,26.2,27.4,0.0,52.4,61.6,58.4,B,B,A,B,958
170906106,CEDRIC C SMITH,MAGNOLIA ISD,MONTGOMERY COUNTY,EE-5,N,NO,797,1.1,1.1,61.7,33.8,62.5,12.1,47.9,57.7,54.0,B,B,B,B,959
152901188,WILLIAMS EL,LUBBOCK ISD,LUBBOCK COUNTY,EE-5,N,YES,406,8.6,2.2,55.2,31.3,67.5,14.3,51.4,55.4,50.0,B,A,D,B,960
152906101,LUBBOCK-COOPER SOUTH EL,LUBBOCK-COOPER ISD,LUBBOCK COUNTY,EE-5,N,NO,727,1.1,0.3,41.3,54.9,42.4,11.9,56.6,56.9,51.1,B,B,C,B,961
84910102,ED H WHITE EL,CLEAR CREEK ISD,HARRIS COUNTY,PK-5,N,NO,599,3.0,5.5,23.7,61.6,15.2,13.1,61.3,62.8,51.4,B,B,C,B,962
148902001,FOLLETT SCHOOL,FOLLETT ISD,LIPSCOMB COUNTY,EE-12,N,NO,154,0.0,0.6,27.9,68.2,50.6,8.8,51.5,60.3,49.6,B,A,D,B,963
108909113,AIDA C ESCOBAR EL,PHARR-SAN JUAN-ALAMO ISD,HIDALGO COUNTY,EE-5,N,NO,804,0.0,0.9,97.3,1.6,91.0,23.4,46.9,55.3,51.7,B,A,C,B,964
174902002,CUSHING EL,CUSHING ISD,NACOGDOCHES COUNTY,EE-5,N,NO,271,7.0,1.1,15.1,70.5,65.7,18.1,52.8,52.8,52.2,B,A,B,B,965
43914106,CHERI COX EL,WYLIE ISD,COLLIN COUNTY,EE-4,N,NO,669,7.6,7.0,32.9,48.9,22.7,7.9,58.3,60.5,53.9,B,B,B,B,966
57905206,ALEX SANGER EL,DALLAS ISD,DALLAS COUNTY,PK-5,N,NO,532,12.2,0.0,72.7,13.0,82.7,17.2,49.6,53.6,51.3,B,A,C,B,967
178908101,OLSEN EL,PORT ARANSAS ISD,NUECES COUNTY,EE-5,N,NO,230,0.0,1.7,25.2,67.0,46.5,21.5,58.6,53.2,51.5,B,B,C,B,968
101912395,HINES-CALDWELL,HOUSTON ISD,HARRIS COUNTY,EE-5,N,NO,784,19.5,0.5,77.6,1.4,93.0,3.0,45.7,54.9,53.9,B,A,B,B,969
46902107,BILL BROWN EL,COMAL ISD,COMAL COUNTY,EE-5,N,NO,656,1.2,0.9,35.4,60.2,25.0,9.5,64.8,55.3,50.3,B,B,C,B,970
227901128,PEASE EL,AUSTIN ISD,TRAVIS COUNTY,KG-6,N,NO,242,9.9,0.0,35.5,50.0,16.1,2.5,68.8,56.0,49.3,B,B,D,B,971
246801001,MERIDIAN WORLD SCHOOL LLC,MERIDIAN WORLD SCHOOL LLC,WILLIAMSON COUNTY,KG-12,Y,NO,1421,6.5,20.6,19.1,48.6,8.4,6.1,71.9,55.8,50.9,B,B,C,B,972
27904102,COLT EL,MARBLE FALLS ISD,BURNET COUNTY,EE-5,N,NO,619,0.6,0.8,44.4,51.7,67.4,16.0,48.0,55.1,55.2,B,B,A,B,973
108904104,BETTS EL,EDINBURG CISD,HIDALGO COUNTY,EE-5,N,NO,476,0.0,0.0,99.2,0.8,89.9,17.7,42.8,58.1,53.5,B,A,B,B,974
101913105,WOODLAND HILLS EL,HUMBLE ISD,HARRIS COUNTY,KG-5,N,NO,569,3.7,3.5,30.1,60.6,28.3,9.4,59.1,59.4,50.6,B,B,C,B,975
246913103,BLOCK HOUSE CREEK EL,LEANDER ISD,WILLIAMSON COUNTY,EE-5,N,NO,656,4.0,1.1,26.1,62.8,21.0,10.1,61.2,60.2,50.8,B,B,C,B,976
101913109,GREENTREE EL,HUMBLE ISD,HARRIS COUNTY,KG-5,N,NO,732,3.4,3.6,21.4,69.5,10.5,8.6,60.0,64.5,53.8,B,B,B,B,977
170903102,MONTGOMERY INT,MONTGOMERY ISD,MONTGOMERY COUNTY,5-5,N,NO,668,3.1,0.4,14.2,78.4,22.9,8.4,61.2,59.9,49.8,B,B,D,B,978
105904101,DRIPPING SPRINGS EL,DRIPPING SPRINGS ISD,HAYS COUNTY,EE-5,N,NO,992,0.7,1.5,28.1,65.6,16.3,6.0,66.2,57.4,50.7,B,B,C,B,979
84910120,I W AND ELEANOR HYDE EL,CLEAR CREEK ISD,GALVESTON COUNTY,EE-5,N,NO,631,7.1,2.1,22.3,61.2,22.8,8.8,59.8,59.1,53.0,B,B,B,B,980
220920101,LIBERTY EL,WHITE SETTLEMENT ISD,TARRANT COUNTY,EE-4,N,NO,608,7.7,0.8,46.2,40.0,78.1,26.0,52.7,51.1,50.6,B,A,C,B,981
108908115,HURLA M MIDKIFF EL,MISSION CISD,HIDALGO COUNTY,EE-5,N,NO,741,0.3,0.0,98.7,0.9,72.5,14.7,52.4,52.4,50.4,B,A,C,B,982
31901141,PENA EL,BROWNSVILLE ISD,CAMERON COUNTY,EE-5,N,NO,637,0.3,0.0,99.1,0.6,97.0,15.0,45.1,57.5,49.8,B,A,D,B,983
170907102,GREENLEAF EL,SPLENDORA ISD,MONTGOMERY COUNTY,KG-5,N,NO,728,0.0,0.0,60.4,37.4,79.7,14.7,40.5,59.6,55.7,B,B,A,B,984
101913124,FALL CREEK EL,HUMBLE ISD,HARRIS COUNTY,KG-5,N,NO,961,28.1,7.7,20.2,40.3,14.2,8.7,61.0,62.9,51.5,B,B,C,B,985
91908101,VAN ALSTYNE EL,VAN ALSTYNE ISD,GRAYSON COUNTY,EE-4,N,NO,633,1.6,0.8,12.8,79.3,30.8,8.8,55.2,56.0,59.5,B,B,A,B,986
21902108,JOHNSON EL,BRYAN ISD,BRAZOS COUNTY,KG-4,N,NO,455,7.3,0.7,44.4,43.3,44.4,5.9,59.4,54.0,49.2,B,B,D,B,987
57905193,JOHN J PERSHING EL,DALLAS ISD,DALLAS COUNTY,EE-5,N,NO,553,12.3,1.1,83.2,2.4,85.4,20.4,46.4,51.0,58.6,C,B,A,B,988
227901146,ZILKER EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,562,1.8,0.7,34.7,57.7,20.3,9.1,64.6,57.4,49.8,B,B,D,B,989
220902121,WALKER CREEK EL,BIRDVILLE ISD,TARRANT COUNTY,EE-5,N,NO,634,5.7,5.5,18.6,65.9,26.8,7.7,64.3,54.2,50.7,B,B,C,B,990
158902102,MARKHAM EL,TIDEHAVEN ISD,MATAGORDA COUNTY,EE-5,N,NO,191,5.8,0.0,46.1,45.5,70.2,19.6,43.6,58.5,54.7,B,B,B,B,991
84902104,MORGAN EL MAGNET SCHOOL,GALVESTON ISD,GALVESTON COUNTY,EE-4,N,YES,531,32.0,0.8,53.5,13.4,94.0,19.4,46.3,52.8,55.1,C,B,A,B,992
220908123,CAROL HOLT EL,MANSFIELD ISD,TARRANT COUNTY,EE-4,N,NO,432,32.6,7.9,16.0,36.8,44.9,13.1,55.0,57.4,50.1,B,B,C,B,993
1906102,NECHES EL,NECHES ISD,ANDERSON COUNTY,EE-8,N,NO,269,7.8,0.0,13.8,75.8,46.5,16.8,48.8,59.6,55.3,B,B,A,B,994
70912107,SHACKELFORD EL,WAXAHACHIE ISD,ELLIS COUNTY,KG-5,N,NO,611,6.1,0.7,32.6,55.5,29.3,13.3,57.3,59.2,51.9,B,B,C,B,995
101908108,FAIRMONT ELEMENTARY,DEER PARK ISD,HARRIS COUNTY,KG-5,N,NO,810,4.0,2.2,38.8,53.1,22.2,5.8,55.2,67.2,47.6,B,B,F,B,996
43914111,GEORGE W BUSH EL,WYLIE ISD,COLLIN COUNTY,EE-4,N,NO,555,5.6,2.0,60.2,27.9,46.8,0.0,50.2,57.5,56.1,B,B,A,B,997
101905042,B H HAMBLEN EL,CHANNELVIEW ISD,HARRIS COUNTY,KG-5,N,NO,780,26.5,0.3,67.9,4.2,77.1,15.0,44.0,57.6,53.4,B,A,B,B,998
15915151,FERNANDEZ EL,NORTHSIDE ISD,BEXAR COUNTY,EE-5,N,NO,594,3.9,3.4,70.7,18.4,57.2,11.3,52.1,57.4,48.6,B,A,D,B,999
57903110,BLANTON EL,CARROLLTON-FARMERS BRANCH ISD,DALLAS COUNTY,KG-5,N,NO,478,7.1,4.2,77.2,7.9,81.2,8.4,47.0,55.1,51.8,B,A,C,B,1000
