Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
227913042,HUDSON BEND MIDDLE,LAKE TRAVIS ISD,TRAVIS COUNTY,6-8,N,NO,1180,0.9,5.9,23.9,65.0,15.3,7.4,72.7,68.0,53.8,A,A,B,A,111
61902058,SHADOW RIDGE MIDDLE,LEWISVILLE ISD,DENTON COUNTY,6-8,N,NO,699,3.6,18.9,12.7,60.5,4.6,5.0,74.4,72.3,54.7,A,A,B,A,112
57909041,AUSTIN ACAD FOR EXCELL,GARLAND ISD,DALLAS COUNTY,6-8,N,YES,928,11.0,16.4,41.5,26.6,44.2,1.1,70.7,56.3,54.7,A,A,B,A,113
74917001,RAYBURN H S,SAM RAYBURN ISD,FANNIN COUNTY,7-12,N,NA,209,1.9,0.0,9.1,87.1,38.8,12.2,54.9,77.5,49.2,A,A,D,A,114
43905047,ROACH MIDDLE,FRISCO ISD,COLLIN COUNTY,6-8,N,NO,777,13.8,20.1,14.0,47.9,15.3,6.7,66.5,73.0,55.0,A,A,B,A,115
130901042,BOERNE MIDDLE SOUTH,BOERNE ISD,KENDALL COUNTY,6-8,N,NO,1194,0.4,1.4,27.1,68.8,10.6,6.3,71.1,70.3,56.4,A,A,A,A,116
75901001,FLATONIA SECONDARY,FLATONIA ISD,FAYETTE COUNTY,6-12,N,NO,282,4.6,0.0,57.4,37.2,60.3,9.0,50.0,69.5,58.3,B,A,A,A,117
101907057,SALYARDS MIDDLE,CYPRESS-FAIRBANKS ISD,HARRIS COUNTY,6-8,N,NO,1635,8.5,5.3,20.4,62.1,12.7,4.9,70.2,70.3,55.3,A,A,A,A,118
101914052,WOODCREEK J H,KATY ISD,FORT BEND COUNTY,6-8,N,NO,1345,8.9,13.8,20.4,54.1,7.9,5.3,71.2,72.9,54.2,A,A,B,A,119
57848008,INTERNATIONAL LEADERSHIP OF TEXAS MIDDLE - KELLER,INTERNATIONAL LEADERSHIP OF TEXAS (ILT),DENTON COUNTY,6-8,Y,NO,457,13.3,13.1,32.8,35.2,23.4,15.7,69.5,65.3,54.6,A,A,B,A,120
101862003,HARMONY SCIENCE ACADEMY-KATY,HARMONY SCHOOL OF SCIENCE - HOUSTON,FORT BEND COUNTY,KG-12,Y,NO,663,42.8,24.4,14.3,14.3,43.9,8.8,67.1,63.2,48.5,A,A,D,A,121
43905052,MAUS MIDDLE,FRISCO ISD,COLLIN COUNTY,6-8,N,NO,966,14.0,29.1,13.9,38.4,11.5,6.7,69.4,71.8,54.7,A,A,B,A,122
143903001,SHINER H S,SHINER ISD,LAVACA COUNTY,7-12,N,NO,298,8.4,0.3,14.1,76.2,26.2,8.4,58.4,75.8,52.8,A,A,B,A,123
71905106,EASTWOOD KNOLLS,YSLETA ISD,EL PASO COUNTY,KG-8,N,NO,803,1.0,0.7,91.9,6.0,50.6,7.6,58.6,64.6,55.6,A,A,A,A,124
220906042,COLLEYVILLE MIDDLE,GRAPEVINE-COLLEYVILLE ISD,TARRANT COUNTY,6-8,N,NO,684,1.3,9.2,10.1,73.8,3.7,3.8,73.9,74.2,51.6,A,A,C,A,125
61901048,HARPOOL MIDDLE,DENTON ISD,DENTON COUNTY,6-8,N,NO,982,4.9,3.5,15.5,73.6,11.8,6.5,67.6,72.6,55.1,A,A,A,A,126
17901001,BORDEN COUNTY SCHOOL,BORDEN COUNTY ISD,BORDEN COUNTY,KG-12,N,NO,254,0.8,0.0,18.5,77.6,23.6,6.3,69.2,62.4,58.2,A,A,A,A,127
96905001,VALLEY SCHOOL,TURKEY-QUITAQUE ISD,HALL COUNTY,EE-12,N,NO,203,4.4,0.0,31.0,63.5,50.2,11.2,47.8,73.6,57.5,A,A,A,A,128
