,gsId,name,city,state,address,lat,lon,type,gsRating,Zipcode
197,12100,Lbj High School,Austin,TX,"7309 Lazy Creek Drive, 
Austin, TX  78724",30.313496,-97.65667,public,10.0,78724
198,616,Leadership Academy,Austin,TX,"2515 South Congress Avenue, 
Austin, TX  78704",30.235638,-97.75366,public,2.0,78704
199,555,Lee Elementary School,Austin,TX,"3308 Hampton Road, 
Austin, TX  78705",30.29305,-97.72763,public,,78705
200,556,Linder Elementary School,Austin,TX,"2800 Metcalfe Road, 
Austin, TX  78741",30.224209,-97.73794,public,8.0,78741
201,5892,Live Oak Elementary School,Austin,TX,"8607 Anderson Mill Road, 
Austin, TX  78729",30.45348,-97.771126,public,3.0,78729
202,24804,Long-View Micro-School,Austin,TX,"1201 West 24th Street, 
Austin, TX  78705",30.288166,-97.75077,private,6.0,78705
203,25022,Magnolia Montessori For All,Austin,TX,"5100 Pecan Brook Drive, 
Austin, TX  78724",30.317167,-97.65826,charter,,78724
204,557,Maplewood Elementary School,Austin,TX,"3808 Maplewood Avenue, 
Austin, TX  78722",30.293337,-97.714905,public,3.0,78722
205,7749,Maranatha Christian Academy,Austin,TX,"8210 S 1st Street, 
Austin, TX  78748",30.18099,-97.795044,private,4.0,78748
206,558,Martin Middle School,Austin,TX,"1601 Haskell Street, 
Austin, TX  78702",30.253086,-97.72987,public,,78702
207,559,Mathews Elementary School,Austin,TX,"906 West Lynn Street, 
Austin, TX  78703",30.278215,-97.760796,public,1.0,78703
208,9148,Mcbee Elementary School,Austin,TX,"1101 West Braker Lane, 
Austin, TX  78758",30.38325,-97.69106,public,8.0,78758
209,560,Mccallum High School,Austin,TX,"5600 Sunshine Drive, 
Austin, TX  78756",30.327484,-97.72887,public,7.0,78756
210,5891,Mcneil High School,Austin,TX,"5720 McNeil Drive, 
Austin, TX  78729",30.448587,-97.73333,public,7.0,78729
211,607,Mendez Middle School,Austin,TX,"5106 Village Square Drive, 
Austin, TX  78744",30.188675,-97.74306,public,7.0,78744
212,562,Metz Elementary School,Austin,TX,"84 Robert Martinez Junior Street, 
Austin, TX  78702",30.254284,-97.721725,public,1.0,78702
213,620,Mills Elementary School,Austin,TX,"6201 Davis Lane, 
Austin, TX  78749",30.210917,-97.8782,public,3.0,78749
214,21331,Mr Darcy's Class,Austin,TX,"8805 Tara Lane, 
Austin, TX  78737",30.232285,-97.91796,private,9.0,78737
215,563,Murchison Middle School,Austin,TX,"3700 North Hills Drive, 
Austin, TX  78731",30.353977,-97.75872,public,,78731
216,5873,Noel Grisham Middle School,Austin,TX,"10805 School House Lane, 
Austin, TX  78750",30.457403,-97.80668,public,7.0,78750
217,564,Norman Elementary School,Austin,TX,"4001 Tannehill Lane, 
Austin, TX  78721",30.278324,-97.67397,public,7.0,78721
218,5412,Northwest Elementary School,Austin,TX,"14014 Thermal Drive, 
Austin, TX  78728",30.431906,-97.67626,public,6.0,78728
219,9147,Nyos - Magnolia Mccullough Campus,Austin,TX,"1605 Kramer Lane, 
Austin, TX  78758",30.38466,-97.70277,charter,3.0,78758
220,93,Nyos Charter School,Austin,TX,"12301 North Lamar Boulevard, 
Austin, TX  78753",30.402246,-97.67847,charter,8.0,78753
221,565,O Henry Middle School,Austin,TX,"2610 West 10th Street, 
Austin, TX  78703",30.285492,-97.77376,public,8.0,78703
222,566,Oak Hill Elementary School,Austin,TX,"6101 Patton Ranch Road, 
Austin, TX  78735",30.237991,-97.858765,public,6.0,78735
223,567,Oak Springs Elementary School,Austin,TX,"3601 Webberville Road, 
Austin, TX  78702",30.271786,-97.70484,public,6.0,78702
224,19725,Oakmont School,Austin,TX,"1510 Morrow St, 
Austin, TX  78757",30.34799,-97.724556,private,3.0,78757
225,568,Odom Elementary School,Austin,TX,"1010 Turtle Creek Boulevard, 
Austin, TX  78745",30.20562,-97.78878,public,,78745
226,11858,Odyssey School,Austin,TX,"4407 Red River Street, 
Austin, TX  78751",30.304052,-97.71981,private,6.0,78751
227,569,Ortega Elementary School,Austin,TX,"1135 Garland Avenue, 
Austin, TX  78721",30.269997,-97.68428,public,,78721
228,7808,Our Savior Lutheran School,Austin,TX,"1513 East Yager Lane, 
Austin, TX  78753",30.386408,-97.65198,private,5.0,78753
229,10792,Overton Elementary School,Austin,TX,"7201 Colony Loop Drive, 
Austin, TX  78724",30.300186,-97.6367,public,,78724
230,10791,Padron Elementary School,Austin,TX,"1111 West 6th Street, 
Austin, TX  78703",30.272375,-97.756516,public,4.0,78703
231,609,Palm Elementary School,Austin,TX,"7601 Dixie Drive, 
Austin, TX  78744",30.164824,-97.743675,public,7.0,78744
232,8076,Paragon Prep School,Austin,TX,"2001 West Koenig Lane, 
Austin, TX  78756",30.333954,-97.73803,private,6.0,78756
233,9472,Paredes Middle School,Austin,TX,"10100 South Mary Moore Searight Drive, 
Austin, TX  78748",30.165659,-97.81159,public,,78748
234,7992,Parkside Community School,Austin,TX,"3702 W. Slaughter Lane , 
Austin, TX  78748",30.1856,-97.85356,private,4.0,78748
235,5410,Parmer Lane Elementary School,Austin,TX,"1806 Parmer Lane, 
Austin, TX  78727",30.418943,-97.70227,public,,78727
236,9133,Patsy Sommer Elementary School,Austin,TX,"16200 Avery Ranch Boulevard, 
Austin, TX  78717",30.504526,-97.75202,public,7.0,78717
237,604,Patton Elementary School,Austin,TX,"6001 Westcreek Drive, 
Austin, TX  78749",30.2318,-97.84553,public,10.0,78749
238,19532,Pearson Ranch Middle,Austin,TX,"8901 Pearson Ranch Road, 
Austin, TX  78717",30.496775,-97.75084,public,6.0,78717
239,571,Pease Elementary School,Austin,TX,"1106 Rio Grande Street, 
Austin, TX  78701",30.275291,-97.74803,public,,78701
240,572,Pecan Springs Elementary School,Austin,TX,"3100 Rogge Lane, 
Austin, TX  78723",30.303139,-97.676315,public,7.0,78723
241,10795,Perez Elementary School,Austin,TX,"7500 South Pleasant Valley Road, 
Austin, TX  78744",30.17085,-97.75624,public,5.0,78744
242,8614,Phoenix Academy,Austin,TX,"400 West Live Oak Street, 
Austin, TX  78704",30.24414,-97.75614,public,4.0,78704
243,9142,Pickle Elementary School,Austin,TX,"1101 Wheatley Avenue, 
Austin, TX  78752",30.333408,-97.693825,public,,78752
244,573,Pillow Elementary School,Austin,TX,"3025 Crosscreek Drive, 
Austin, TX  78757",30.369263,-97.73339,public,2.0,78757
245,18849,Pioneer Crossing Elementary School,Austin,TX,"11300 Samsung Boulevard, 
Austin, TX  78754",30.362078,-97.63998,public,4.0,78754
246,574,Pleasant Hill Elementary School,Austin,TX,"6405 Circle South Road, 
Austin, TX  78745",30.196213,-97.77649,public,6.0,78745
247,5888,Pond Springs Elementary School,Austin,TX,"7825 Elkhorn Mountain Trail, 
Austin, TX  78729",30.446201,-97.76417,public,5.0,78729
248,2032,Popham Elementary School,Austin,TX,"7014 Elroy Road, 
Austin, TX  78617",30.157845,-97.64396,public,5.0,78617
249,8424,Praise Christian Academy,Austin,TX,"5800 E Martin Luther King Jr, 
Austin, TX  78721",30.2861,-97.6676,private,3.0,78721
250,20406,Premier High School At Lanier,Austin,TX,"1201 Payton Gin Road, 
Austin, TX  78758",30.360209,-97.70832,charter,,78758
251,20405,Premier High School At Travis,Austin,TX,"1211 East Oltorf Street, 
Austin, TX  78704",30.233839,-97.743256,charter,1.0,78704
252,19817,Primavera Montessori School,Austin,TX,"6405 Manchaca Rd., 
Austin, TX  78745",30.207909,-97.804756,private,1.0,78745
253,24423,Primavera Montessori School,Austin,TX,"1934 Berkeley Avenue, 
Austin, TX  78745",30.208569,-97.80367,private,,78745
254,5883,Purple Sage Elementary School,Austin,TX,"11801 Tanglebriar Trail, 
Austin, TX  78750",30.457247,-97.82031,public,,78750
255,12409,Rawson Saunders,Austin,TX,"2614A Exposition Boulevard, 
Austin, TX  78703",30.301817,-97.765114,private,6.0,78703
256,576,Reagan High School,Austin,TX,"7104 Berkman Drive, 
Austin, TX  78752",30.324188,-97.69135,public,,78752
257,7479,Redeemer Lutheran School,Austin,TX,"1500 West Anderson Lane, 
Austin, TX  78757",30.352537,-97.72068,private,2.0,78757
258,11519,Regents School Of Austin,Austin,TX,"3230 Travis Country Circle, 
Austin, TX  78735",30.254488,-97.84532,private,,78735
259,577,Reilly Elementary School,Austin,TX,"405 Denson Drive, 
Austin, TX  78752",30.327883,-97.71982,public,,78752
260,20704,Renaissance Academy,Austin,TX,"14401 Owen-Tech Boulevard, 
Austin, TX  78728",30.434893,-97.67047,private,7.0,78728
261,11838,Richards School For Young Women Leade,Austin,TX,"2206 Prather Lane, 
Austin, TX  78704",30.236443,-97.788284,public,,78704
262,578,Ridgetop Elementary School,Austin,TX,"5005 Caswell Avenue, 
Austin, TX  78751",30.311796,-97.716255,public,9.0,78751
263,5409,River Oaks Elementary School,Austin,TX,"12401 Scofield Farms Drive, 
Austin, TX  78758",30.408642,-97.68686,public,5.0,78758
264,11937,River Place Elementary School,Austin,TX,"6500 Sitio Del Rio Boulevard, 
Austin, TX  78730",30.38982,-97.84521,public,5.0,78730
265,18850,River Ridge Elementary School,Austin,TX,"12900 Tierra Grande Trail, 
Austin, TX  78732",30.34612,-97.91629,public,8.0,78732
266,8617,Rodriguez Elementary School,Austin,TX,"4400 Franklin Park Drive, 
Austin, TX  78744",30.200659,-97.74725,public,10.0,78744
267,598,Rosedale,Austin,TX,"2117 West 49th Street, 
Austin, TX  78756",30.320051,-97.74019,public,2.0,78756
268,11215,Rutledge Elementary School,Austin,TX,"11501 Staked Plains Drive, 
Austin, TX  78717",30.497648,-97.7935,public,1.0,78717
269,7293,Sacred Heart Catholic School,Austin,TX,"5911 Reicher Drive, 
Austin, TX  78723",30.303,-97.6774,private,9.0,78723
270,25080,Sadler Means Ywla,Austin,TX,"6401 North Hampton Drive, 
Austin, TX  78723",30.313578,-97.68073,public,,78723
271,11555,San Juan Diego Catholic High School,Austin,TX,"800 Herndon Lane, 
Austin, TX  78704",30.240438,-97.763725,private,2.0,78704
272,579,Sanchez Elementary School,Austin,TX,"73 San Marcos Street, 
Austin, TX  78702",30.257992,-97.735054,public,,78702
273,20136,Schoolhouse Academy,Austin,TX,"13740 Research Blvd., 
Austin, TX  78750",30.45932,-97.794205,private,5.0,78750
274,24673,Sci-Tech Preparatory,Austin,TX,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",30.191423,-97.767136,charter,,78744
275,24441,Scotish Rite Dyslexia Center,Austin,TX,"12871 U.S. 183, 
Austin, TX  78750",30.436186,-97.77224,private,3.0,78750
276,11956,Serene Hills Elementary School,Austin,TX,"3322 Ranch Road 620 South, 
Austin, TX  78738",30.327839,-97.96536,public,,78738
277,8495,Settlement Home,Austin,TX,"1600 Payton Gin Road, 
Austin, TX  78758",30.365156,-97.71341,charter,9.0,78758
