,Name,Zip code,latitude,longitude
327,Wild Kitchen And Bar,78669,30.3480007073344,-98.0574777230884
328,Sundancer Grill,78734,30.381445,-97.9596972
329,Frank,78701,30.2668892772151,-97.7444967258494
330,Doc's Motorworks 38th,78705,30.3059953,-97.7443195
331,Green Light Social,78701,30.2703808804593,-97.7503718697005
332,Edwin's Sports Bar,78701,30.26628,-97.73585
333,Castro's Bar and Grill,78734,30.35478,-97.961337
334,The Grackle,78702,30.26258,-97.72417
335,The Grove Wine Bar & Kitchen,78746,30.2963184857946,-97.8328549861908
336,The East End On 7th,78702,30.2568492,-97.7023407
337,The Highball,78704,30.2561289911694,-97.7632124508172
338,Loro,78704,30.24775,-97.77127
339,Old Thousand,78702,30.26962,-97.72992
340,Violet Crown Cinema,78701,30.26554,-97.74806
341,Burnside's Tavern,78701,30.2668989919451,-97.7389753428766
342,Antone's Nightclub,78701,30.2660523,-97.7403876
343,The League Kitchen And Tavern,78737,30.2063769,-97.9761169
344,Lynx Bar and Grill,78723,30.31944,-97.70657
345,The Detour,78735,30.2335573,-97.8661206
346,Volstead Lounge,78702,30.2581775581538,-97.7148056030273
347,Hookah Buzz,78759,30.4175368500966,-97.7456080926093
348,Touche',78701,30.26666,-97.73875
349,Olamaie,78701,30.2798862457275,-97.7436752319336
350,BD Riley's Irish Pub Downtown,78701,30.267778,-97.741059
351,LUX ,78701,30.2696516128734,-97.7493387614233
352,The Saxon Pub,78704,30.2536067962646,-97.7634658813477
353,OK Corral,78704,30.22652,-97.77042
354,Chuy's,78704,30.263803,-97.763323
355,Spinners Bar & Grill,78728,30.4308064883808,-97.6713193
356,Valhalla,78701,30.26806,-97.73684
357,Halcyon,78723,30.29812,-97.70533
358,Hanovers 2.0,78728,30.47609,-97.67361
359,Atrium Lounge,78701,30.268984,-97.740336
360,Posse East,78705,30.29142,-97.73465
361,Stella Public House,78723,30.2978198875665,-97.7055143730163
362,Jack Allen's Kitchen,78757,30.3612,-97.73943
363,Juliet Italian Kitchen,78704,30.26184,-97.76006
364,Moon River Bar & Grill,78733,30.3257676051843,-97.8820037841797
365,The Dizzy Rooster,78799,30.2671,-97.74024
366,Maggie Mae's,78701,30.2670273,-97.7397009
367,The Parlor,78751,30.30873,-97.73406
368,The Rotten Bunch,78717,30.4984434463754,-97.777564941803
369,Hotel Vegas,78702,30.26352,-97.72711
370,Radio Coffee & Beer,78704,30.231538,-97.787778
371,St. Genevieve,78758,30.4013526371326,-97.7228714453827
372,Noa Noa Bar & Grill,78702,30.256955,-97.702231
373,Baker St. Pub & Grill,78704,30.2418,-97.78381
374,Shady Grove,78704,30.262983,-97.76193
375,Launderette,78702,30.25193,-97.72273
376,Last Straw,78702,30.26167,-97.72154
377,Licha's Cantina,78702,30.264108,-97.728966
378,The Growler Bar,78660,30.4491784677329,-97.6066342276654
379,Little Woodrow's - Southpark Meadows,78748,30.166004,-97.793306
380,The Common Interest,78757,30.366182,-97.728973
381,Trifecta On 3rd,78701,30.26744,-97.74941
382,The Water Trough at Lone Star Court,78758,30.3953578,-97.7262403
383,Mour Cafe,78741,30.2435537462959,-97.7287131894612
384,The Tavern,78703,30.277075,-97.7511169
