,Restaurant_Name,Zip code,Restaurant_Rating,Restaurant_latitude,Restaurant_longitude
104,El Alma,78704,4.0,30.2601,-97.75562
105,Winebelly,78704,4.0,30.24141,-97.75892
106,It's Italian Cucina,78704,4.5,30.25243,-97.76454
107,CAVA,78705,4.5,30.2885622487397,-97.741684423978
108,Don Japanese Kitchen,78705,4.5,30.29284,-97.7417399
109,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
110,Freedmen's,78705,4.0,30.288439,-97.747897
111,Olive & June,78703,4.0,30.30726,-97.75113
112,Sushi Hi,78705,4.5,30.296,-97.74264
113,The Carillon,78705,4.5,30.2818694031,-97.7400357374344
114,Kosmos,78705,5.0,30.29298,-97.74177
115,Clay Pit,78701,4.0,30.279073,-97.74232
116,Insennity,78705,5.0,30.2861986,-97.7425615
117,Ceviche7,78705,5.0,30.29634,-97.74139
118,Cabo Bob's Burritos,78705,4.5,30.295789,-97.7442669
119,Song La,78705,4.5,30.286232,-97.742502
120,Julie's Handmade Noodles,78705,4.0,30.290535,-97.744756
121,Halal Bros,78705,4.0,30.2925128936768,-97.7416687011719
122,Holy Taco!,78705,5.0,30.29551,-97.74174
123,Via 313 Pizza - North Campus,78705,4.5,30.2978794228869,-97.7415114110085
124,Pinch,78705,4.5,30.2876780434401,-97.7427316687172
125,Uchiko,78756,4.5,30.31067,-97.74
126,Taco Joint,78705,4.5,30.2916114,-97.734951
127,Culinary Dropout,78758,4.0,30.403653,-97.721503
128,Lotus + Cleaver,78758,4.5,30.40101,-97.72247
129,Halal Bros,78758,4.5,30.39257,-97.70742
130,Paul Martin's Austin Grill,78758,4.0,30.402853,-97.721297
131,Bazille,78758,4.5,30.4022442392014,-97.7204028617381
132,Chi'Lantro,78758,4.0,30.39442,-97.720184
133,Sway,78758,4.0,30.4004932869176,-97.7227822272256
134,Doc B's Fresh Kitchen,78758,4.5,30.402758,-97.719745
135,Mia Italian Tapas & Bar,78758,4.0,30.4010480276062,-97.7229421220703
136,Second Bar + Kitchen,78758,4.0,30.4023750200579,-97.721345834434
137,Velvet Taco,78758,4.0,30.40101,-97.72247
138,Thai Kun,78758,4.0,30.4016022028548,-97.7223529556808
139,Yard House,78758,4.0,30.4053,-97.72308
140,Kabobzi Mediterranean Grill,78758,4.5,30.39573,-97.71953
141,Cluck-N-Burger,78758,5.0,30.38409,-97.71473
142,Draft Shack Oyster Bar,78758,4.0,30.4062692,-97.7202672
143,Rice Bowl Cafe,78753,4.0,30.382525452192,-97.6885507713028
144,Flower Child,78758,4.5,30.40368,-97.72156
145,Peace Bakery and Deli,78753,4.5,30.381804,-97.687232
146,Turf N Surf Po' Boy,78758,3.5,30.4008323136614,-97.7229822854584
147,Cypress Grill,78749,4.0,30.22378213933,-97.8389456767437
148,Via 313 Pizza - Oak Hill,78735,4.5,30.232823,-97.865637
149,Chinos Banditos,78735,4.0,30.23312,-97.86559
150,Chen Z Noodle House,78735,4.0,30.23312,-97.86559
151,Hecho En Mexico,78749,4.0,30.2284872486666,-97.8634008356514
152,Taqueria Chapala,78735,4.0,30.235807,-97.85538
153,Mandola's Italian,78749,3.5,30.22135,-97.83949
154,Torchy's Tacos,78749,4.0,30.22135,-97.83949
155,Austin Pizza Garden,78735,3.5,30.2357725,-97.8590558
156,Kerbey Lane Cafe,78749,3.5,30.222755432098,-97.841308593813
157,Chuy's,78749,3.5,30.217729,-97.841512
158,Yanagi,78749,3.5,30.223993,-97.839499
159,Wholy Bagel,78749,4.5,30.2236706391258,-97.8387865238803
160,Biryani-N-Grill,78749,3.5,30.2148995757854,-97.8333988040686
161,Cheddar's Scratch Kitchen,78749,3.0,30.2198853131613,-97.8385018749288
162,Sesame Hill,78735,3.0,30.2358712453476,-97.8556718677282
163,Flores Mexican Restaurant,78749,3.0,30.2230527605093,-97.8428162365291
164,Donut Tacos Palace I,78735,3.5,30.2373452177042,-97.8402669395485
165,Panera Bread,78749,3.0,30.22325,-97.844193
166,Yaghi's New York Pizzeria,78749,3.5,30.222182,-97.837773
167,Dragonbeard Kitchen,78754,4.5,30.3310371446081,-97.6669375598431
168,Local Slice Pizza,78754,4.5,30.33067,-97.66709
169,Bill Miller Bar-B-Q,78724,2.5,30.329228,-97.658996
170,Taco hot,78753,5.0,30.3504239156208,-97.6764644833017
171,Ken's Subs Tacos & More,78754,4.0,30.35157,-97.67574
172,Tres Amigos,78723,3.5,30.324128,-97.674832
173,Subs N More,78754,4.5,30.3303299,-97.6798325
174,Buddy's Mexican Grill,78754,3.0,30.34642,-97.67688
175,El Charrito Restaurant,78723,3.5,30.3238839365973,-97.6822772036025
176,DaBest Eats Food Truck,78754,5.0,30.3515,-97.67526
177,McDonald's,78724,1.5,30.3290980470933,-97.6606352868407
178,Jack in the Box,78724,2.0,30.32927,-97.65827
179,Subway,78724,2.0,30.3280545026064,-97.6560511440039
180,Salty Sow,78722,4.5,30.2836497259461,-97.7213180065155
181,Roaring Fork,78701,4.0,30.2691040039062,-97.7419586181641
182,Second Bar + Kitchen,78701,4.0,30.2645939290629,-97.7444895054345
183,Easy Tiger,78701,4.0,30.2658004760742,-97.7356872558594
184,Austin Taco Project,78701,4.0,30.26506,-97.73862
